Site,Col_Company,Col_Recruit,Col_detail,Col_url
Saramin,메가존클라우드(주),데이터 분석가 채용,서울강남구 / 경력무관 / 학력무관 / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50052854&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,콘센트릭스서비스코리아(유),[Catalyst] 데이터 분석가 (과장급),서울강남구 / 경력5년↑ / 학력무관 / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50073562&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)심네트,"데이터 분석(국방분야) 전문 분석관 모집(IT, 데이터 분석)",서울용산구 / 신입 / 대졸↑ / 정규직·계약직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50202595&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,에이치디씨랩스(주),[HDC랩스] 리서치팀 부동산데이터구축 및 분석 부문 경력직 채용,서울서초구 / 경력1년↑ / 대졸↑ / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50222999&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)케이에스씨앤씨,[신입] 신용평가/금융데이터분석 컨설팅 인재 채용,서울영등포구 / 신입 / 대졸↑ / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50248252&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,넛지헬스케어(주),[캐시워크] 데이터분석 담당 채용전환형 인턴,서울강남구 / 신입 / 대졸↑ / 인턴직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50202952&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)지바이크,[공유모빌리티 No.1 지쿠] 전략마케팅팀 데이터분석 전문가 모집,서울강남구 / 경력3년↑ / 대졸↑ / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49890333&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)씨아이템프러리,현대카드 본사 카드금융마케팅팀 사무직 채용/데이터분석/마케팅,서울영등포구 / 경력무관 / 학력무관 / 계약직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50354859&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)마티니아이오,(주)마티니 아이오 Data Analyst (데이터 분석가),서울서초구 / 경력1년↑ / 학력무관 / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50378382&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)메이크인,[여의도/자체직전환/신입가능]나이스평가정보 데이터분석 채용,"서울영등포구 / 경력무관 / 초대졸↑ / 계약직·파견직 / 3,000 만원",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50295057&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
